state_territory,may_2024_persons,april_2025_persons_preliminary,may_2025_persons_initial,percent_change_may_2025_vs_april_2025_persons,percent_change_may_2025_vs_may_2024_persons,may_2024_benefits,april_2025_preliminary_benefits,may_2025_initial_benefits,percent_change_may_2025_vs_april_2025_benefits,percent_change_may_2025_vs_may_2024_benefits
Alabama,749707,737704,736178,-2.0685803520111047E-3,-1.804571652658972E-2,127527483,141885914,142142795,1.810475703740401E-3,0.1146051945524558
Alaska,79542,63507,66377,4.519186861290881E-2,-0.16551004500766892,22704902,21854992,24181479,0.10645105703996598,6.5033401157159804E-2
Arizona,926803,886862,887253,4.4088031734362278E-4,-4.2673577880088867E-2,161957481,161431076,161705602,1.7005771552931978E-3,-1.5552168287922433E-3
Arkansas,236318,239993,239748,-1.0208631085073315E-3,1.451434084580946E-2,37779257,41862894,41434391,-1.0235866636453752E-2,9.6749758736652758E-2
California,5444031,5495825,5494318,-2.7420814891303854E-4,9.2370892083458011E-3,1020377545,1046071206,1045310679,-7.2703176957534957E-4,2.4435204520303316E-2
Colorado,588019,615319,614843,-7.735824832322746E-4,4.5617573581806029E-2,110690434,120421314,120493408,5.9868139289694187E-4,8.8562070323077779E-2
Connecticut,393297,366018,363524,-6.8138725417875622E-3,-7.5701060521692259E-2,75214502,70535036,70118853,-5.900372688545874E-3,-6.7748224936728288E-2
Delaware,115747,114898,118209,2.8816863652979165E-2,2.1270529689754378E-2,20987299,20982627,21340950,1.7077127663757258E-2,1.6850715282609733E-2
District of Columbia,137261,140765,140659,-7.5302809647284478E-4,2.4755757279926564E-2,25504224,26894300,26658037,-8.7848726310035957E-3,4.5240074742128988E-2
Florida,2936427,2948751,2943012,-1.9462477503186942E-3,2.2425212681943057E-3,553355198,537138067,535551777,-2.9532258044187363E-3,-3.2173585907112057E-2
Georgia,1396236,1342570.9828000001,1356493.4439000001,1.0370000006229806E-2,-2.8464067750724038E-2,247640574,249244747.5165,252417633.1524,1.2730000000059964E-2,1.9290292682006088E-2
Guam,32661,36993,38152,3.133025166923472E-2,0.16812100058173357,9926031,11367744,11588111,1.938528876090102E-2,0.16744658564938997
Hawaii,155745,160967,163576,1.6208291140420085E-2,5.0280907894314421E-2,58764487,56804192,59178123,4.1791475530538309E-2,7.0388770687303034E-3
Idaho,132881,134557,133545,-7.5209762405523311E-3,4.99695216020349E-3,23563895,24028810,23906189,-5.1030825080393078E-3,1.4526206299934709E-2
Illinois,1948556,1882087,1879564,-1.3405331421979961E-3,-3.5406731959461264E-2,380434000,370126826,368278250,-4.9944393925124468E-3,-3.1952322873349912E-2
Indiana,601789,588485,586403,-3.5378981622301332E-3,-2.5567100761230265E-2,119605044,115071140,114763019,-2.67765662180804E-3,-4.0483451517312266E-2
Iowa,258850,265385,267158,6.6808598828117637E-3,3.2095808383233532E-2,43816719,44800854,45159537,8.0061643467778543E-3,3.0646247155109902E-2
Kansas,187537,186183,186036,-7.8954576948486168E-4,-8.0037539258919575E-3,33751405,32866360,32971957,3.2129204450994878E-3,-2.3093794169457539E-2
Kentucky,555976,588406,595155,1.1469971414295571E-2,7.0468869159819855E-2,106823810,104582408,106498834,1.8324554164023454E-2,-3.0421682207365567E-3
Louisiana,834136,810034,803988,-7.4638842320198908E-3,-3.6142787267304133E-2,152795090,150787631,150268544,-3.4425038483428391E-3,-1.6535518255200478E-2
Maine,173259,163723,163520,-1.2398990978665185E-3,-5.6210644180100314E-2,29826564,28741928,28869975,4.4550595214071934E-3,-3.2071712987121144E-2
Maryland,697963,666631,667981,2.0251083432963665E-3,-4.2956431787931453E-2,118903037,121647828,121902010,2.0894906565861577E-3,2.5222005052738895E-2
Massachusetts,1122571,1084257,1076187,-7.4428848511007995E-3,-4.1319435474459966E-2,221480945,253075319,232066810,-8.301287175301357E-2,4.7795827311464652E-2
Michigan,1460465,1488317,1473832,-9.7324696284460908E-3,9.1525644229748741E-3,252056019,260304037,258575524,-6.6403618626936622E-3,2.5865301792297211E-2
Minnesota,454581,452653,451966,-1.5177188707464657E-3,-5.7525501505782247E-3,71820452,71684520,71616027,-9.5547825388242816E-4,-2.8463340776524212E-3
Mississippi,373987,356678,357042,1.0205283196608706E-3,-4.530906154492001E-2,68011868,64026518,64432174,6.3357498216598312E-3,-5.2633372751943824E-2
Missouri,655339,652427,655940,5.3845104509776575E-3,9.1708260915343055E-4,107085889,127939292,128629589,5.3955042990233215E-3,0.20118150207447033
Montana,81980,80612,80523,-1.1040539869994542E-3,-1.7772627470114662E-2,14107898,13806446,13743731,-4.5424434354793403E-3,-2.5812987873884544E-2
Nebraska,155110,150264,150600,2.236064526433477E-3,-2.9076139513893366E-2,28175265,27235760,27258920,8.5035262463760875E-4,-3.252303039563248E-2
Nevada,503276,498155,496848,-2.6236813843080967E-3,-1.2772315786963813E-2,85192000,84899633,85360880,5.4328503398830942E-3,1.9823457601652736E-3
New Hampshire,77041,75831,75717,-1.503342960003165E-3,-1.7185654391817344E-2,12934808,12824583,12838748,1.1045193438258382E-3,-7.4264728166046224E-3
New Jersey,850015,826593,826094,-6.0368282818751187E-4,-2.8141856320182585E-2,165824372,158584466,160778766,1.3836790294454187E-2,-3.0427409066261984E-2
New Mexico,469547,459066,457699,-2.9777853293426219E-3,-2.523283079223166E-2,89392701,81422666,80790060,-7.7694090733899579E-3,-9.6234266374835231E-2
New York,2965846,2968230,2962913,-1.7913032345876162E-3,-9.8892525100763838E-4,648927434,648226349,647210404,-1.5672689047078524E-3,-2.6459507027098502E-3
North Carolina,1400599,1416527,1378291,-2.6992778817488124E-2,-1.5927471032037007E-2,240665630,249066847,240858724,-3.2955502102614241E-2,8.0233309592233834E-4
North Dakota,50220,56870,57129,4.5542465271672236E-3,0.13757467144563917,9414080,10008646,9959141,-4.9462234951660796E-3,5.7898488221897415E-2
Ohio,1401313,1441842,1450955,6.320387393348231E-3,3.5425347513367823E-2,267055062,264566699,269917495,2.0224752473477398E-2,1.0718512424228079E-2
Oklahoma,689006,694088,692477,-2.3210313389656644E-3,5.0376919794602659E-3,118423242,129789831,129386266,-3.1093730293862546E-3,9.2574935585701998E-2
Oregon,767546,776467,772893,-4.6029000588563322E-3,6.9663577166710526E-3,136198835,141516668,140797421,-5.0824189840309132E-3,3.3763768977906457E-2
Pennsylvania,2014560,1969806,1958047,-5.9696234045383146E-3,-2.8052279405924866E-2,316306101,353801109,355777154,5.5851859978200353E-3,0.12478751713992389
Rhode Island,144510,144225,142726,-1.0393482405962905E-2,-1.2345166424468895E-2,27599637,28999215,28680737,-1.0982297279426357E-2,3.9170805036312616E-2
South Carolina,577431,567310,567895,1.0311822460383213E-3,-1.6514527276852126E-2,98672963,105581112,105867349,2.7110625620234041E-3,7.2911421541076049E-2
South Dakota,75557,75363,75282,-1.0747979777875085E-3,-3.6396363010707147E-3,15066645,14877271,14923544,3.1103150571096003E-3,-9.4978676407388631E-3
Tennessee,718191,687647,690545,4.2143716179958608E-3,-3.8493938242055388E-2,135021739,144836299,140318213,-3.1194431445669569E-2,3.9226824059790846E-2
Texas,3146408,3480330,3455085,-7.2536225013145302E-3,9.8104568765398512E-2,591041138,631810084,614386464,-2.7577305967785092E-2,3.9498648231149014E-2
Utah,173215,177537,177087,-2.534682911167813E-3,2.2353722252691742E-2,33513506,34153580,34030139,-3.6142916789396601E-3,1.5415665552866954E-2
Vermont,65894,64938,64633,-4.6967877051957247E-3,-1.9136795459374148E-2,12439793,12570247,12199424,-2.9500056761016708E-2,-1.9322588406414803E-2
Virginia,839353,821135,824866,4.5437108392651637E-3,-1.7259722667340202E-2,147680182,143776637,143392688,-2.6704547276342259E-3,-2.9032290872989308E-2
Virgin Islands,21192,20905,20772,-6.3621143267160963E-3,-1.9818799546998868E-2,5402189,5461722,5407726,-9.8862593152855456E-3,1.0249548840294185E-3
Washington,892304,906414,905471,-1.0403634542273177E-3,1.4756181749717585E-2,157213495,167067696,167068578,5.2792970820642667E-6,6.2685986339785907E-2
West Virginia,280551,273283,273566,1.0355565476081571E-3,-2.4897433978135881E-2,42815361,45852710,45886908,7.4582287502745202E-4,7.1739369428649682E-2
Wisconsin,702904,693487,689315,-6.0159743441477636E-3,-1.9332654245814505E-2,112494941,112846063,112973934,1.1331454248430448E-3,4.2579070289036373E-3
Wyoming,29304,27593,27122,-1.7069546624143804E-2,-7.4460824460824457E-2,4246055,5062900,4985385,-1.5310395228031366E-2,0.17412162583857252
